序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
39,supabase,ABC1319/supabase,https://github.com/ABC1319/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",https://supabase.com,,1,0,1,0,master,2026-07-31T07:41:05Z,2026-07-31T07:41:19Z,2026-07-31T07:35:06Z,2421030,True,False,,Apache-2.0,ABC1319,User
40,imsyy,ABC1319/imsyy,https://github.com/ABC1319/imsyy,个人主页，我的个人主页，个人主页源码，主页模板，homepage，https://imsyy-55d.pages.dev/,https://home.stimi.cc.cd/,Vue,0,0,0,0,dev,2024-01-16T08:35:22Z,2026-07-31T07:28:28Z,2026-07-31T07:29:11Z,19836,True,False,,MIT,ABC1319,User
41,ima-mcp,ABC1319/ima-mcp,https://github.com/ABC1319/ima-mcp,基于 IMA API 的 MCP 服务器，支持笔记管理和知识库操作，提供 stdio 和 http 两种接入方式。,,,0,0,0,0,master,2026-07-28T15:00:31Z,2026-07-28T15:00:32Z,2026-04-30T17:44:33Z,119,True,False,,MIT,ABC1319,User
42,ima-kb,ABC1319/ima-kb,https://github.com/ABC1319/ima-kb,IMA 个人知识库,,,0,0,0,0,main,2026-07-28T14:56:51Z,2026-07-28T14:56:51Z,2026-07-28T12:19:29Z,88798,True,False,,,ABC1319,User
43,LingShuimaDownload,ABC1319/LingShuimaDownload,https://github.com/ABC1319/LingShuimaDownload,【使用条款】 1. 本软件仅供学习交流使用，不得用于任何商业目的。 2. 使用者应当遵守相关法律法规，尊重知识产权。 3. 严禁使用本软件下载或传播任何违法违规内容。 4. 使用者应当自行承担使用本软件的风险和后果。 【免责声明】 1. 本软件及作者仅提供为正常下载的便利服务，不保证其完整性、可靠性和安全性，不对使用本软件造成的任何直接或间接损失承担责任，使用者应当自行承担使用本软件的风险和后果。 2. 本软件可能会因网络环境、系统配置等因素影响使用效果如遇问题请优先重启解决。,,,0,0,0,0,main,2026-07-28T13:56:55Z,2026-07-28T13:56:55Z,2026-03-23T05:15:26Z,9375,True,False,,,ABC1319,User
44,wechat-mp-collector,ABC1319/wechat-mp-collector,https://github.com/ABC1319/wechat-mp-collector,扫码登录一次自己的公众号后台，之后每天自动采集目标公众号新推文链接：去重、关键词过滤、按时间归档，并切成 10 条一批方便导入 ima 知识库。借自有公众号后台接口，全覆盖不被 RSS 收录的号（如纯长图文的公众号号）。,,,0,0,0,0,main,2026-07-26T12:33:02Z,2026-07-26T12:33:02Z,2026-06-01T09:21:14Z,230,True,False,,MIT,ABC1319,User
45,wechat-favorites-to-ima,ABC1319/wechat-favorites-to-ima,https://github.com/ABC1319/wechat-favorites-to-ima,把微信收藏夹公众号文章批量迁移到腾讯 ima 知识库的 Claude 技能:本地 Markdown 存档、可断点续跑、每步人工确认(macOS),,,0,0,0,0,main,2026-07-26T12:30:22Z,2026-07-26T12:30:22Z,2026-07-20T06:37:21Z,20,True,False,,MIT,ABC1319,User
46,ima-kb-site,ABC1319/ima-kb-site,https://github.com/ABC1319/ima-kb-site,石头的知识库 · ima 同步索引站点（自动每日更新）,,,1,0,1,0,main,2026-07-26T12:29:31Z,2026-07-26T12:29:42Z,2026-07-08T06:02:32Z,25,True,False,,,ABC1319,User
47,ima-kb-to-wewrite-style,ABC1319/ima-kb-to-wewrite-style,https://github.com/ABC1319/ima-kb-to-wewrite-style,WorkBuddy/CodeBuddy Skill: 把 IMA 知识库（含分享链接）提炼为 WeWrite 文章风格库,,,0,0,0,0,main,2026-07-26T12:28:18Z,2026-07-26T12:28:19Z,2026-07-21T04:10:48Z,8,False,False,,,ABC1319,User
48,ima-importer,ABC1319/ima-importer,https://github.com/ABC1319/ima-importer,一个 Obsidian 插件，用于将 腾讯 IMA (ima.qq.com) 知识库中的文章导入到您的 Obsidian 仓库。,,,0,0,0,0,main,2026-07-26T12:26:54Z,2026-07-26T12:26:55Z,2026-05-08T17:09:53Z,81,True,False,,,ABC1319,User
49,ima-skill,ABC1319/ima-skill,https://github.com/ABC1319/ima-skill,IMA笔记管理与知识库 - 统一的IMA OpenAPI技能。,,,0,0,0,0,main,2026-07-26T12:25:23Z,2026-07-26T12:25:23Z,2026-05-17T11:47:22Z,110,True,False,,,ABC1319,User
50,gzh-to-ima-skill,ABC1319/gzh-to-ima-skill,https://github.com/ABC1319/gzh-to-ima-skill,"把微信公众号文章批量抓取并导入 IMA 知识库的自动化技能 (WeChat official-account article crawler → IMA knowledge base, MIT)",,,0,0,0,0,main,2026-07-26T12:23:14Z,2026-07-26T12:23:14Z,2026-07-20T16:17:33Z,74,True,False,,MIT,ABC1319,User
51,ima-kb-downloader,ABC1319/ima-kb-downloader,https://github.com/ABC1319/ima-kb-downloader,IMA 知识库下载器Skill,,,0,0,0,0,main,2026-07-26T12:20:45Z,2026-07-26T12:20:45Z,2026-07-24T05:34:52Z,23,True,False,,,ABC1319,User
52,ima-download,ABC1319/ima-download,https://github.com/ABC1319/ima-download,ima 知识库下载,,,0,0,0,0,main,2026-07-26T12:02:34Z,2026-07-26T12:02:35Z,2025-06-18T04:34:11Z,14,True,False,,,ABC1319,User
53,UniIPTV,ABC1319/UniIPTV,https://github.com/ABC1319/UniIPTV,UniIPTV 是一个基于 GitHub Actions 全自动运行的 IPTV 直播源聚合清洗方案，https://gh-proxy.org/https://raw.githubusercontent.com/ABC1319/UniIPTV/gh-pages/tv.m3u,https://raw.githubusercontent.com/ABC1319/UniIPTV/gh-pages/tv.m3u,Python,2,1,2,0,main,2026-05-23T08:53:41Z,2026-07-26T08:57:15Z,2026-08-05T08:36:20Z,13179,False,False,,,ABC1319,User
54,ima-downloader-pro,ABC1319/ima-downloader-pro,https://github.com/ABC1319/ima-downloader-pro,ima-downloader-pro,,Python,0,0,0,0,main,2026-07-26T03:52:32Z,2026-07-26T04:06:24Z,2026-07-26T04:05:39Z,62,False,True,,,ABC1319,User
55,video_spider,ABC1319/video_spider,https://github.com/ABC1319/video_spider,"短视频去水印：抖音,皮皮虾,火山,微视,微博,绿洲,最右,轻视频,快手,全民小视频,巴塞电影,陌陌,Before避风,开眼,Vue Vlog 小咖秀,皮皮搞笑,全民K歌,西瓜视频,逗拍,虎牙,6间房,梨视频,新片场,acfun,美拍...",https://lab.5ime.cn/video,,1,0,1,0,main,2026-07-24T09:43:50Z,2026-07-24T09:44:08Z,2025-12-03T07:12:30Z,144,True,False,,AGPL-3.0,ABC1319,User
56,wm-nav,ABC1319/wm-nav,https://github.com/ABC1319/wm-nav,無名导航-基于Nuxt3，飞书多维表格。,,,1,0,1,0,main,2026-07-24T09:42:10Z,2026-07-24T09:42:24Z,2025-04-28T06:31:11Z,283,True,False,,MIT,ABC1319,User
57,wm-cloud-bookmark,ABC1319/wm-cloud-bookmark,https://github.com/ABC1319/wm-cloud-bookmark,基于飞书多维表格实现书签跨设备收藏,,,1,0,1,0,main,2026-07-24T09:41:39Z,2026-07-24T09:41:58Z,2026-04-15T08:45:43Z,420,True,False,,MIT,ABC1319,User
58,PicFreeCutter,ABC1319/PicFreeCutter,https://github.com/ABC1319/PicFreeCutter,无名图片自由分割/切割在线工具-支持图片自由纵向分割，横向分割，宫格分割，低仿 wps 看图图片分割。体验地址：https://wumingluren.github.io/PicFreeCutter,,,1,0,1,0,main,2026-07-24T09:38:52Z,2026-07-24T09:39:04Z,2024-04-29T14:17:23Z,8620,True,False,,,ABC1319,User
59,PDFMathTranslate,ABC1319/PDFMathTranslate,https://github.com/ABC1319/PDFMathTranslate,[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero,https://pdf2zh.com,,1,0,1,0,main,2026-07-23T15:15:35Z,2026-07-23T15:15:43Z,2026-05-25T19:00:26Z,54530,True,False,,AGPL-3.0,ABC1319,User
60,Minimalism,ABC1319/Minimalism,https://github.com/ABC1319/Minimalism,🖥📱一款极简主义的typecho主题,,,1,0,1,0,master,2026-07-01T04:56:12Z,2026-07-23T15:14:15Z,2019-04-16T14:24:02Z,2025,True,False,,MIT,ABC1319,User
61,IMA_Downloader,ABC1319/IMA_Downloader,https://github.com/ABC1319/IMA_Downloader,,,,1,0,1,0,master,2026-07-23T12:44:56Z,2026-07-23T15:12:18Z,2026-07-07T12:48:51Z,161,True,False,,,ABC1319,User
62,ima-downloader,ABC1319/ima-downloader,https://github.com/ABC1319/ima-downloader,IMA 知识库下载器 - 粘贴分享链接，自动递归下载知识库内所有文件，支持增量下载与断点续传,,,1,0,1,0,master,2026-07-23T12:20:15Z,2026-07-23T15:11:25Z,2026-07-07T07:10:04Z,63,True,False,,MIT,ABC1319,User
63,ima-downloader0,ABC1319/ima-downloader0,https://github.com/ABC1319/ima-downloader0,download ima files,,,1,0,1,0,main,2026-07-23T12:30:40Z,2026-07-23T15:11:11Z,2025-12-27T01:48:05Z,13,True,False,,Apache-2.0,ABC1319,User
64,ima_scrapper,ABC1319/ima_scrapper,https://github.com/ABC1319/ima_scrapper,,,,1,0,1,0,main,2026-07-23T12:37:55Z,2026-07-23T15:07:48Z,2025-11-28T21:28:28Z,2081543,True,False,,,ABC1319,User
65,Notes,ABC1319/Notes,https://github.com/ABC1319/Notes,"My learning journey through HPC, VLSI digital IC design, computer architecture, etc.",,,0,0,0,0,main,2026-07-23T14:34:31Z,2026-07-23T14:34:31Z,2025-10-12T15:19:43Z,267171,True,False,,,ABC1319,User
66,odyssey,ABC1319/odyssey,https://github.com/ABC1319/odyssey,个人的第二大脑，AI 时代必备的个人数字化基建,,,1,0,1,0,main,2026-07-23T14:28:34Z,2026-07-23T14:30:44Z,2026-07-13T08:19:59Z,18381,True,False,,,ABC1319,User
67,personal-ai-company,ABC1319/personal-ai-company,https://github.com/ABC1319/personal-ai-company,全员 AI 的公司，只有老板是人。7×24 为你做调研、发媒体、写代码、管投资。基于 Claude Code 构建。,,,1,0,1,0,main,2026-07-23T14:30:16Z,2026-07-23T14:30:23Z,2026-04-30T15:00:24Z,52736,True,False,,,ABC1319,User
68,video_downloader,ABC1319/video_downloader,https://github.com/ABC1319/video_downloader,,,,0,0,0,0,main,2026-07-23T12:39:20Z,2026-07-23T12:39:20Z,2025-12-07T08:19:56Z,55,True,False,,,ABC1319,User
69,EasyMD,ABC1319/EasyMD,https://github.com/ABC1319/EasyMD,轻量、稳定的 Markdown 编辑器，支持浏览器与桌面双端,,,0,0,0,0,main,2026-07-23T12:22:20Z,2026-07-23T12:22:20Z,2026-07-11T06:06:54Z,1207,True,False,,WTFPL,ABC1319,User
70,Wechat-Article-editor,ABC1319/Wechat-Article-editor,https://github.com/ABC1319/Wechat-Article-editor,Wechat article editor,,,0,0,0,0,main,2026-07-23T12:21:34Z,2026-07-23T12:21:34Z,2026-07-09T12:20:35Z,288,True,False,,MIT,ABC1319,User
71,codex-plus,ABC1319/codex-plus,https://github.com/ABC1319/codex-plus,,,,1,0,1,0,main,2026-07-23T03:52:16Z,2026-07-23T03:52:24Z,2026-07-18T04:49:37Z,5434,True,False,,MIT,ABC1319,User
72,creatorhub,ABC1319/creatorhub,https://github.com/ABC1319/creatorhub,"多平台内容监控·采集·搬运 —— 纯 Python(FastAPI + Playwright),一个 Web 面板管起抖音 / 小红书 / 快手",,,1,0,1,0,main,2026-07-23T03:51:47Z,2026-07-23T03:51:53Z,2026-07-21T06:40:47Z,1752,True,False,,,ABC1319,User
73,dashi-ppt-skill,ABC1319/dashi-ppt-skill,https://github.com/ABC1319/dashi-ppt-skill,"An AI-agent skill that generates browser-editable presentations from multiple visual themes, exportable to HTML, PDF, and PPTX.",,,0,0,0,0,main,2026-07-23T03:40:45Z,2026-07-23T03:40:45Z,2026-07-20T09:29:26Z,101020,True,False,,AGPL-3.0,ABC1319,User
74,STARCHIVE,ABC1319/STARCHIVE,https://github.com/ABC1319/STARCHIVE,"Organise and export your GitHub starred repositories — with list support, categorisation, and CSV output.",,,1,0,1,0,main,2026-07-23T03:32:13Z,2026-07-23T03:33:10Z,2025-05-18T13:02:47Z,303,True,False,,,ABC1319,User
75,starred,ABC1319/starred,https://github.com/ABC1319/starred,Create and maintain your own Awesome-style list from GitHub stars!,https://github.com/maguowei/awesome-stars,,0,0,0,0,main,2026-07-23T03:29:26Z,2026-07-23T03:29:26Z,2026-06-19T16:30:16Z,1974,True,False,,MIT,ABC1319,User
76,image-studio,ABC1319/image-studio,https://github.com/ABC1319/image-studio,AI视觉创作套件，集图解、绘画、编辑和视频生成于一体。支持Vercel一键部署,,,1,0,1,0,master,2026-07-23T03:23:37Z,2026-07-23T03:23:42Z,2025-09-15T11:05:41Z,99,True,False,,MIT,ABC1319,User
77,xiaoye-ai,ABC1319/xiaoye-ai,https://github.com/ABC1319/xiaoye-ai,多模态 AI 内容创作平台，支持 Google Gemini、火山引擎 Seedream/Seedance 等模型进行图像和视频生成。,https://xiaoye.io,,0,0,0,0,main,2026-07-23T03:19:27Z,2026-07-23T03:19:27Z,2026-06-17T10:23:07Z,1716,True,False,,AGPL-3.0,ABC1319,User
78,github-trending-spider,ABC1319/github-trending-spider,https://github.com/ABC1319/github-trending-spider,每日AI前沿信息。开源趋势、社区热议、AI 动态,https://www.gdufe888.top/ai/,,1,0,1,0,master,2026-07-23T03:18:49Z,2026-07-23T03:18:54Z,2026-07-22T17:42:04Z,2107,True,False,,MIT,ABC1319,User
79,resume-generator,ABC1319/resume-generator,https://github.com/ABC1319/resume-generator,在线简历生成器,,,1,0,1,0,main,2026-07-23T03:17:15Z,2026-07-23T03:17:26Z,2025-06-19T11:54:37Z,919,True,False,,,ABC1319,User
80,Love-Poetry-Gallery,ABC1319/Love-Poetry-Gallery,https://github.com/ABC1319/Love-Poetry-Gallery,情诗画廊壁纸在线网站源码,,,0,0,0,0,main,2026-07-23T03:16:32Z,2026-07-23T03:16:32Z,2025-11-08T18:52:34Z,23197,True,False,,,ABC1319,User
81,resume-builder,ABC1319/resume-builder,https://github.com/ABC1319/resume-builder,简历生成器,https://resume-builder-iota-three.vercel.app,,1,0,1,0,main,2026-07-23T03:09:18Z,2026-07-23T03:09:35Z,2026-03-20T02:25:16Z,6534,True,False,,AGPL-3.0,ABC1319,User
82,magic-resume0,ABC1319/magic-resume0,https://github.com/ABC1319/magic-resume0,free online AI resume editor，the only official website is  https://magicv.art,https://magicv.art,,1,0,1,0,main,2026-07-23T03:03:13Z,2026-07-23T03:04:58Z,2026-06-15T15:56:37Z,183199,True,False,,NOASSERTION,ABC1319,User
83,resume,ABC1319/resume,https://github.com/ABC1319/resume,🚀 在线简历生成器,https://abc1319.github.io/resume/?template=template2&user=visiky,,1,0,1,0,master,2026-07-23T02:53:18Z,2026-07-23T03:00:11Z,2023-08-30T08:27:38Z,34214,True,False,,MIT,ABC1319,User
84,hub-dashboard,ABC1319/hub-dashboard,https://github.com/ABC1319/hub-dashboard,https://hub-dashboard-ioh.pages.dev/,https://git.kingdora.top,,1,0,1,0,main,2026-07-23T02:37:52Z,2026-07-23T02:51:00Z,2026-07-10T07:45:07Z,651,True,False,,MIT,ABC1319,User
85,gitstars,ABC1319/gitstars,https://github.com/ABC1319/gitstars,Github Starred Repositories Manager，https://gitstars-theta-lilac.vercel.app/,https://gitstars.jbt.de5.net/,Vue,1,0,1,0,main,2026-07-23T01:46:33Z,2026-07-23T02:35:03Z,2026-07-23T02:12:00Z,3929,True,False,,,ABC1319,User
86,some-stars,ABC1319/some-stars,https://github.com/ABC1319/some-stars,我的star列表，每天自动更新,https://abc1319.github.io/some-stars/,,1,0,1,0,main,2026-02-21T15:12:09Z,2026-07-23T01:41:54Z,2026-07-23T01:41:13Z,74139,True,False,,MIT,ABC1319,User
87,Github-Star-Manager,ABC1319/Github-Star-Manager,https://github.com/ABC1319/Github-Star-Manager,Star Manager is a local-first web app for organizing GitHub starred repositories with Star Lists and optional LLM-assisted classification.,,,1,0,1,0,master,2026-07-22T05:26:56Z,2026-07-23T00:27:13Z,2026-03-26T12:31:49Z,114,True,False,,AGPL-3.0,ABC1319,User
88,wechat-claude-code,ABC1319/wechat-claude-code,https://github.com/ABC1319/wechat-claude-code,Chat with Claude Code from WeChat - a Claude Code Skill,,,0,0,0,0,main,2026-07-22T11:46:46Z,2026-07-22T11:46:46Z,2026-06-27T13:53:59Z,173,True,False,,MIT,ABC1319,User
89,GitHub-Stars-AI-Tools,ABC1319/GitHub-Stars-AI-Tools,https://github.com/ABC1319/GitHub-Stars-AI-Tools,本地优先的 GitHub Stars AI 桌面应用，可 AI 检索/解析已 Star 项目。Local-first AI desktop app for GitHub Stars.,https://gsat.xingranya.cn,,1,0,1,0,main,2026-07-22T11:33:50Z,2026-07-22T11:39:20Z,2026-07-15T17:11:35Z,3400,True,False,,NOASSERTION,ABC1319,User
90,starflow,ABC1319/starflow,https://github.com/ABC1319/starflow,"Self-hosted GitHub Stars manager with lists, search & notes | 可自托管的支持AI分类、搜索、笔记的 GitHub Stars 管理工具",https://starflow.aspchang.cn,,0,0,0,0,main,2026-07-22T11:23:12Z,2026-07-22T11:23:12Z,2026-01-18T10:49:45Z,2133,True,False,,MIT,ABC1319,User
91,hao12345,ABC1319/hao12345,https://github.com/ABC1319/hao12345,个人导航页面,https://abc1319.github.io/hao12345/,,0,0,0,0,master,2026-07-22T10:52:54Z,2026-07-22T10:53:50Z,2025-11-01T09:03:04Z,34970,True,False,,,ABC1319,User
92,userscripts,ABC1319/userscripts,https://github.com/ABC1319/userscripts,Userscripts Collection,,,0,0,0,0,main,2026-07-22T08:50:29Z,2026-07-22T08:50:29Z,2026-07-08T03:42:18Z,15273,True,False,,MIT,ABC1319,User
93,utags,ABC1319/utags,https://github.com/ABC1319/utags,🏷️ Allow users to add custom tags to links.,https://utags.link/,,0,0,0,0,main,2026-07-22T08:43:28Z,2026-07-22T08:43:28Z,2026-06-12T22:37:14Z,19617,True,False,,MIT,ABC1319,User
94,utags-bookmarks,ABC1319/utags-bookmarks,https://github.com/ABC1319/utags-bookmarks,⚠️ IMPORTANT NOTICE: This project has been merged into the monorepo https://github.com/utags/utags   and is no longer updated here. Please visit the new repository for the latest updates and development. | UTags Bookmark Manager is a modern bookmark management tool designed for developers and power users.,https://utags.link,,0,0,0,0,main,2026-07-22T08:27:51Z,2026-07-22T08:27:52Z,2025-08-30T11:10:05Z,1100,True,False,,MIT,ABC1319,User
95,devhaven,ABC1319/devhaven,https://github.com/ABC1319/devhaven,,,,0,0,0,0,main,2026-07-22T08:23:14Z,2026-07-22T08:23:15Z,2026-07-21T19:49:20Z,18547,True,False,,GPL-3.0,ABC1319,User
96,xianyu-auto-reply,ABC1319/xianyu-auto-reply,https://github.com/ABC1319/xianyu-auto-reply,闲鱼自动回复管理系统是一个基于 Python + FastAPI 开发的自动化客服系统，专为闲鱼平台设计。系统通过 WebSocket 连接闲鱼服务器，实时接收和处理消息，提供智能化的自动回复服务。同时集成闲鱼自动发货，自动评价，自动擦亮等功能，实现闲鱼虚拟商品自动化流程。,https://xy.zhinianboke.com/,,0,0,0,0,main,2026-07-22T08:09:05Z,2026-07-22T08:09:05Z,2026-07-20T12:10:21Z,264926,True,False,,AGPL-3.0,ABC1319,User
97,grok-register,ABC1319/grok-register,https://github.com/ABC1319/grok-register,【已存活三个月+，无封号】批量注册稳定 Grok 账号，可直接导入 grok2api 和 cpa 使用，并且可以与cloudflare无限域名邮箱等联动。通过1000+账号连续注册测试。,,,0,0,0,0,main,2026-07-22T08:08:24Z,2026-07-22T08:08:24Z,2026-07-20T16:16:53Z,2482,True,False,,MIT,ABC1319,User
98,hermes-agent,ABC1319/hermes-agent,https://github.com/ABC1319/hermes-agent,The agent that grows with you,https://hermes-agent.nousresearch.com,,0,0,0,0,main,2026-07-22T08:07:44Z,2026-07-22T08:07:44Z,2026-07-22T07:17:41Z,523843,True,False,,MIT,ABC1319,User
99,better-github-stars-manager,ABC1319/better-github-stars-manager,https://github.com/ABC1319/better-github-stars-manager,"Manage your GitHub starred repos: tag, note, filter, search across thousands of stars. Chrome MV3 extension. ",https://chromewebstore.google.com/detail/better-github-stars-manag/jbiacpcceoffcnmpepifoegagjopjpfa,,0,0,0,0,master,2026-07-22T08:04:11Z,2026-07-22T08:04:11Z,2026-07-20T05:35:58Z,8258,True,False,,MIT,ABC1319,User
100,GitHub-Star-Category-Optimization-Assistant,ABC1319/GitHub-Star-Category-Optimization-Assistant,https://github.com/ABC1319/GitHub-Star-Category-Optimization-Assistant,"This is a smart tool based on the Large Language Model (LLM) to automatically organize and categorize your GitHub Star repositories. It uses a two-round processing mechanism: first, it performs an initial categorization; then, it summarizes and optimizes the categorization results, ultimately generating a clear and consistent categorization list.",,,1,0,1,0,main,2026-07-22T04:30:58Z,2026-07-22T08:02:37Z,2026-01-28T11:08:55Z,21,True,False,,AGPL-3.0,ABC1319,User
101,awesome-github-repos,ABC1319/awesome-github-repos,https://github.com/ABC1319/awesome-github-repos,"🚀 A curated collection of awesome GitHub repositories, organized by language and topic from my starred projects. Modern, elegant platform for showcasing your starred GitHub repositories.",https://awesome.tonngw.com,,0,0,0,0,main,2026-07-22T07:11:11Z,2026-07-22T07:11:11Z,2026-06-25T02:08:01Z,7068,True,False,,MIT,ABC1319,User
102,github-stars-export-csv,ABC1319/github-stars-export-csv,https://github.com/ABC1319/github-stars-export-csv,This Python script fetches all starred repositories for a specified GitHub user and exports them to a CSV file.,,,1,0,1,0,main,2026-07-22T06:45:33Z,2026-07-22T06:58:49Z,2025-09-18T13:55:09Z,3,True,False,,MIT,ABC1319,User
103,GithubStarsManager,ABC1319/GithubStarsManager,https://github.com/ABC1319/GithubStarsManager,"AI-powered GitHub stars manager with semantic search, auto-categorization, and release tracking",https://gsm.aminta.top,,0,0,0,0,main,2026-07-22T06:34:51Z,2026-07-22T06:34:51Z,2026-07-17T16:36:18Z,69652,True,False,,MIT,ABC1319,User
104,Remu,ABC1319/Remu,https://github.com/ABC1319/Remu,💥Chrome Extension for GitHub that view stars / star history / organizing starred repository,https://chrome.google.com/webstore/detail/remu/bajifjohhghngljcfhkbpcggafpiajdo,,0,0,0,0,master,2026-07-22T06:33:27Z,2026-07-22T06:33:27Z,2022-08-13T02:24:08Z,11101,True,False,,MIT,ABC1319,User
105,astral,ABC1319/astral,https://github.com/ABC1319/astral,Organize Your GitHub Stars With Ease,https://astralapp.com,,0,0,0,0,main,2026-07-22T06:29:06Z,2026-07-22T06:29:06Z,2026-07-11T16:48:42Z,8623,True,False,,BSD-3-Clause,ABC1319,User
106,the-fucking-github,ABC1319/the-fucking-github,https://github.com/ABC1319/the-fucking-github,"A Chrome extension for Github. View starred repositories, organizing stars, searching stars and searching repositories online for Github。",,,0,0,0,0,master,2026-07-22T06:19:27Z,2026-07-22T06:19:27Z,2020-04-30T02:38:43Z,704,True,False,,,ABC1319,User
107,AI-worker,ABC1319/AI-worker,https://github.com/ABC1319/AI-worker,"🌐 A simple Cloudflare Worker - Serverless & Cost-Effective: No need to rent or manage your own server. Cloudflare Workers operate on a serverless model, and the free tier is often sufficient for personal use",,,0,0,0,0,main,2026-07-22T05:37:24Z,2026-07-22T05:37:25Z,2025-07-26T20:25:26Z,2804,True,False,,GPL-3.0,ABC1319,User
108,GradNote-FrontEnd,ABC1319/GradNote-FrontEnd,https://github.com/ABC1319/GradNote-FrontEnd,GradNote是一个智能错题管理与学习工具，帮助学生高效记录、分析和复习错题，提高学习效率。通过AI驱动的知识点提取和解题分析，GradNote能够自动关联错题与知识点，生成个性化的学习报告和复习计划。,,,0,0,0,0,main,2026-07-22T05:35:47Z,2026-07-22T05:35:47Z,2025-08-10T05:00:27Z,447,True,False,,AGPL-3.0,ABC1319,User
109,Cheeto-Panel,ABC1319/Cheeto-Panel,https://github.com/ABC1319/Cheeto-Panel,Tauri-based injector & menu for Cheeto Template. Uses named pipes to communicate with the core module,,,0,0,0,0,master,2026-07-22T05:35:11Z,2026-07-22T05:35:12Z,2025-10-23T09:20:26Z,534,True,False,,,ABC1319,User
110,History-Viewer,ABC1319/History-Viewer,https://github.com/ABC1319/History-Viewer,一个轻量级的 Chrome / Edge 浏览器扩展，用于按时间段读取浏览历史，并按**“同一天 + 主域名”**进行精准去重合并，支持一键导出为功能丰富的 Excel 数据表。,,,0,0,0,0,main,2026-07-22T05:34:48Z,2026-07-22T05:34:48Z,2026-02-23T15:02:37Z,366,True,False,,MIT,ABC1319,User
111,PicWall,ABC1319/PicWall,https://github.com/ABC1319/PicWall,一个基于Express和SQLite的轻量级图片展示网站，特色是响应式瀑布流布局、实时交互和优雅的UI设计。,,,0,0,0,0,main,2026-07-22T05:33:41Z,2026-07-22T05:33:41Z,2026-03-05T03:38:17Z,55,True,False,,AGPL-3.0,ABC1319,User
112,real-random-taxfree-address,ABC1319/real-random-taxfree-address,https://github.com/ABC1319/real-random-taxfree-address,"地址生成器:Random US tax-free state address generator with real OSM/USPS data — map-verified on Google Maps, supports global countries (HK, India, RU, etc.), multi-language (ZH/EN/RU/ES/PT), pure frontend, no server storage.",https://mockaddress.com/,,0,0,0,0,main,2026-07-22T05:32:13Z,2026-07-22T05:32:13Z,2026-03-28T11:00:32Z,496,True,False,,MIT,ABC1319,User
113,PDF2IMG,ABC1319/PDF2IMG,https://github.com/ABC1319/PDF2IMG,"A powerful online PDF to image converter that supports high-definition rendering, customizable output formats, and all processing is done locally in the browser.",,,0,0,0,0,main,2026-07-22T05:31:01Z,2026-07-22T05:31:01Z,2026-03-21T18:43:49Z,157,True,False,,AGPL-3.0,ABC1319,User
114,moemail,ABC1319/moemail,https://github.com/ABC1319/moemail,A cute temporary email service built with NextJS + Cloudflare technology stack 🎉 | 一个基于 NextJS + Cloudflare 技术栈构建的可爱临时邮箱服务🎉  ,https://moemail.app,,0,0,0,0,master,2026-07-22T05:30:11Z,2026-07-22T05:30:11Z,2026-06-16T00:15:55Z,2327,True,False,,MIT,ABC1319,User
115,ironclaw,ABC1319/ironclaw,https://github.com/ABC1319/ironclaw,"IronClaw is an Agent OS focused on privacy, security and extensibility",https://www.ironclaw.com,,0,0,0,0,main,2026-07-22T05:29:02Z,2026-07-22T05:29:02Z,2026-07-22T05:23:57Z,135872,True,False,,Apache-2.0,ABC1319,User
116,ImageWall,ABC1319/ImageWall,https://github.com/ABC1319/ImageWall,,,,0,0,0,0,master,2026-07-22T05:28:10Z,2026-07-22T05:28:10Z,2026-03-25T09:35:04Z,503,True,False,,AGPL-3.0,ABC1319,User
117,img2webp,ABC1319/img2webp,https://github.com/ABC1319/img2webp,,,,0,0,0,0,main,2026-07-22T05:27:33Z,2026-07-22T05:27:33Z,2026-03-26T02:57:00Z,87,True,False,,AGPL-3.0,ABC1319,User
118,FlowPilot,ABC1319/FlowPilot,https://github.com/ABC1319/FlowPilot,Chrome扩展：支持Codex / kiro / Grok注册、验证码获取、CPA/sub回调验证与自动恢复,https://flowpilot.qlhazycoder.top,,0,0,0,0,master,2026-07-22T05:25:18Z,2026-07-22T05:25:18Z,2026-07-21T18:04:17Z,7156,True,False,,MIT,ABC1319,User
119,NotionNext,ABC1319/NotionNext,https://github.com/ABC1319/NotionNext,"Turn your Notion workspace into a fast, customizable website. Built with Next.js + Notion API, with multi-platform deployment and no self-hosted server required.",https://notionnext.tangly1024.com,,0,0,0,0,main,2026-07-22T05:24:21Z,2026-07-22T05:24:21Z,2026-07-22T04:30:13Z,227914,True,False,,MIT,ABC1319,User
